Cakupan,UHH,HLS,RLS,Pengeluaran,IPM,Tahun
KABUPATEN SIMEULUE,65.26,13.76,9.34,7085.0,66.03,2020
KABUPATEN ACEH SINGKIL,67.39,14.31,8.53,8707.0,68.94,2020
KABUPATEN ACEH SELATAN,64.35,14.42,8.87,8089.0,67.12,2020
KABUPATEN ACEH TENGGARA,68.14,14.0,9.66,8020.0,69.37,2020
KABUPATEN ACEH TIMUR,68.72,13.03,8.15,8489.0,67.63,2020
KABUPATEN ACEH TENGAH,68.85,14.27,9.85,10673.0,73.24,2020
KABUPATEN ACEH BARAT,67.98,14.6,9.37,9516.0,71.38,2020
KABUPATEN ACEH BESAR,69.78,14.72,10.32,9641.0,73.56,2020
KABUPATEN PIDIE,66.94,14.46,8.99,9816.0,70.63,2020
KABUPATEN BIREUEN,71.22,14.83,9.28,8857.0,72.28,2020
KABUPATEN ACEH UTARA,68.8,14.7,8.63,8122.0,69.33,2020
KABUPATEN ACEH BARAT DAYA,65.0,13.58,8.66,8316.0,66.75,2020
KABUPATEN GAYO LUES,65.47,13.77,8.2,8791.0,67.22,2020
KABUPATEN ACEH TAMIANG,69.58,13.59,8.9,8327.0,69.24,2020
KABUPATEN NAGAN RAYA,69.22,14.13,8.68,8216.0,69.18,2020
KABUPATEN ACEH JAYA,67.16,13.98,8.7,9615.0,69.75,2020
KABUPATEN BENER MERIAH,69.22,13.46,9.79,11098.0,72.98,2020
KABUPATEN PIDIE JAYA,70.14,14.82,9.33,10071.0,73.2,2020
KOTA BANDA ACEH,71.45,17.79,12.65,16778.0,85.41,2020
KOTA SABANG,70.51,13.95,11.14,11273.0,75.78,2020
KOTA LANGSA,69.42,15.35,11.11,12057.0,77.17,2020
KOTA LHOKSEUMAWE,71.6,15.2,10.91,11367.0,77.31,2020
KOTA SUBULUSSALAM,64.02,14.61,7.84,7317.0,64.93,2020
KABUPATEN NIAS,69.75,12.57,5.36,6898.0,61.93,2020
KABUPATEN MANDAILING NATAL,62.6,13.32,8.62,9684.0,66.79,2020
KABUPATEN TAPANULI SELATAN,64.91,13.24,9.28,11236.0,70.12,2020
KABUPATEN TAPANULI TENGAH,67.15,13.06,8.62,10071.0,69.23,2020
KABUPATEN TAPANULI UTARA,68.63,13.69,9.85,11648.0,73.47,2020
KABUPATEN TOBA SAMOSIR,70.08,13.45,10.52,12154.0,75.16,2020
KABUPATEN LABUHAN BATU,69.93,12.73,9.24,11150.0,72.01,2020
KABUPATEN ASAHAN,68.26,12.6,8.79,10890.0,70.29,2020
KABUPATEN SIMALUNGUN,71.22,12.78,9.6,11308.0,73.25,2020
KABUPATEN DAIRI,69.0,13.1,9.58,10350.0,71.57,2020
KABUPATEN KARO,71.4,12.76,9.79,12349.0,74.43,2020
KABUPATEN DELI SERDANG,71.73,13.35,10.09,12225.0,75.44,2020
KABUPATEN LANGKAT,68.8,13.05,8.65,11071.0,71.0,2020
KABUPATEN NIAS SELATAN,68.74,12.23,5.85,6974.0,61.89,2020
KABUPATEN HUMBANG HASUNDUTAN,69.27,13.28,9.54,7850.0,68.87,2020
KABUPATEN PAKPAK BHARAT,65.74,13.86,9.03,8170.0,67.59,2020
KABUPATEN SAMOSIR,71.27,13.47,9.43,8422.0,70.63,2020
KABUPATEN SERDANG BEDAGAI,68.68,12.6,8.54,10950.0,70.24,2020
KABUPATEN BATU BARA,66.96,12.63,8.06,10410.0,68.36,2020
KABUPATEN PADANG LAWAS UTARA,67.17,12.87,9.37,9987.0,69.85,2020
KABUPATEN PADANG LAWAS,67.09,13.03,9.01,8807.0,68.25,2020
KABUPATEN LABUHAN BATU SELATAN,68.71,13.0,8.75,11495.0,71.4,2020
KABUPATEN LABUHAN BATU UTARA,69.46,13.04,8.4,11779.0,71.61,2020
KABUPATEN NIAS UTARA,69.43,13.03,6.58,6064.0,62.36,2020
KABUPATEN NIAS BARAT,68.96,12.94,6.49,5830.0,61.51,2020
KOTA SIBOLGA,69.01,13.16,10.4,11473.0,73.63,2020
KOTA TANJUNG BALAI,63.27,12.5,9.44,11132.0,68.65,2020
KOTA PEMATANG SIANTAR,73.55,14.45,11.16,12372.0,78.75,2020
KOTA TEBING TINGGI,70.87,12.72,10.31,12876.0,75.17,2020
KOTA MEDAN,73.14,14.74,11.39,14890.0,80.98,2020
KOTA BINJAI,72.38,13.62,10.93,10997.0,75.89,2020
KOTA PADANGSIDIMPUAN,69.41,14.54,11.0,10856.0,75.22,2020
KOTA GUNUNGSITOLI,71.19,13.74,8.61,7980.0,69.31,2020
KABUPATEN KEPULAUAN MENTAWAI,64.73,12.82,7.09,6281.0,61.09,2020
KABUPATEN PESISIR SELATAN,70.86,13.32,8.26,9212.0,69.9,2020
KABUPATEN SOLOK,68.58,13.04,7.86,10171.0,69.08,2020
KABUPATEN SIJUNJUNG,66.21,12.37,8.11,10361.0,67.74,2020
KABUPATEN TANAH DATAR,69.94,14.33,8.61,10588.0,72.33,2020
KABUPATEN PADANG PARIAMAN,68.79,13.67,7.87,10998.0,70.61,2020
KABUPATEN AGAM,72.37,13.87,8.96,9651.0,72.46,2020
KABUPATEN LIMA PULUH KOTA,69.79,13.29,7.99,9596.0,69.47,2020
KABUPATEN PASAMAN,67.4,12.8,8.09,8425.0,66.64,2020
KABUPATEN SOLOK SELATAN,67.81,12.71,8.28,10325.0,69.04,2020
KABUPATEN DHARMASRAYA,71.33,12.43,8.47,11273.0,71.51,2020
KABUPATEN PASAMAN BARAT,67.82,13.61,8.19,9047.0,68.49,2020
KOTA PADANG,73.65,16.52,11.58,14481.0,82.82,2020
KOTA SOLOK,73.61,14.32,11.03,12117.0,78.29,2020
KOTA SAWAH LUNTO,70.0,13.17,10.17,10182.0,72.64,2020
KOTA PADANG PANJANG,72.82,15.06,11.62,10734.0,77.93,2020
